"","NAME10","area"
"353","312.02",79156685.9267273
"354","312.04",725778563.266876
"355","313.02",403472734.269943
"356","326.01",118200925.309174
"357","276",671875860.27774
"358","293.05",44717459.067337
"359","293.04",31210633.9307861
"360","293.03",44807277.1167145
"361","292.04",38853299.7174835
"362","30",45597063.609726
"363","29",16072231.2485046
"364","28",10614779.5699768
"365","27",10584448.9238281
"366","26",17154152.5839233
"367","25",13398381.5133972
"368","24",10594626.0202942
"369","22",10527563.6321716
"370","21",45814799.7456055
"371","20",14696757.446106
"372","314",12183656.3908386
"373","320.07",68671268.3168106
"374","251.01",125266827.913391
"375","252",31597319.5369263
"376","220.03",48913479.2768097
"377","222.01",24954286.3852234
"378","292.03",24651597.3292542
"379","290.04",21637718.8692474
"380","290.03",19648999.3234406
"381","290.01",27715815.287262
"382","275",38623135.0404205
"383","274",23998454.75
"384","19",35795060.9476471
"385","18",17901902.8111572
"386","16",10149391.2757874
"387","15",26894368.4846191
"388","14",16887174.4255371
"389","13",25279822.9320374
"390","12",12743535.2875061
"391","11",19740189.8754883
"392","10",11413496.0993652
"393","9",10273004.3935852
"394","222.02",37969966.1266174
"395","323.23",28133534.4850769
"396","216",35430720.8096924
"397","219.03",32280886.9642334
"398","907",33845046.3760986
"399","908",240081327.348083
"400","909",297658087.838989
"401","910",112941397.307404
"402","801.01",436546051.29599
"403","801.02",27298530.3082123
"404","802",28589498.8203125
"405","803",26782415.6537018
"406","804",20196244.1593475
"407","806",72106900.7457275
"408","807",34654101.7989349
"409","928.01",70662492.1169434
"410","912.04",129152050.891296
"411","913.02",52856506.7701416
"412","914",403625732.688812
"413","915",139925823.317444
"414","916",90773202.2670898
"415","917",55229960.8456116
"416","918",109564043.473053
"417","920",92489440.1744232
"418","805",2188259979.4527
"419","809",27461035.3450928
"420","810",157492943.753952
"421","811",45824812.4980927
"422","812",16102513.163147
"423","814",9420092.8059082
"424","913.01",42014500.2866058
"425","912.01",425965890.244324
"426","912.03",72481164.5951843
"427","919",67284287.0580444
"428","901.01",66773896.9139404
"429","901.02",620284593.838318
"430","921",624722540.239502
"431","922",775104920.74884
"432","924",83465296.1155853
"433","925",65726142.0595093
"434","926",177044829.501816
"435","929.01",178533900.753052
"436","923",768906224.371643
"437","903",80146585.1924591
"438","904",341499905.440491
"439","9401",253354396.707001
"440","9400",360904779.841492
"441","911",169703608.94696
"442","808",320225756.053802
"443","928.02",18207420.0721588
"444","928.03",306122611.248978
"445","929.02",202599448.898636
"446","902.02",299606218.852249
"447","905.02",629463196.453888
"448","902.01",75728769.0210571
"449","905.01",198855227.760956
"450","927.04",87354800.5610352
"451","927.01",272935228.798233
"453","620",274771354.546494
"454","716.01",3030722055.90509
"455","731.11",22599201.3132935
"456","9400.07",43410842.4420242
"457","9400.06",40184542.4822578
"458","731.16",27081356.8591385
"459","728",19650003.508606
"460","721.07",173745062.318521
"461","717.03",253017340.141441
"462","731.13",54332966.0812378
"463","725.06",9924023.45118713
"464","714.11",199188899.691029
"465","714.10",296691461.546082
"466","723.08",36384014.5345573
"467","9400.10",63129809.15382
"468","714.09",182667684.482277
"469","733.02",98704280.2441025
"470","718.03",22887076.9071159
"471","731.15",33101944.2725906
"472","721.06",49541252.8041687
"473","721.05",73791916.0834026
"474","626",36630910.8610916
"475","732",50446791.4318771
"476","724.10",74862108.5063858
"477","731.10",6025943578.94862
"478","731.08",413869947.603088
"479","719.02",62456114.3278885
"480","723.07",106606562.650478
"481","723.11",97600748.5687828
"482","721.09",21032603.5774918
"483","724.07",26381705.8770752
"484","730.01",157192481.794479
"485","701",102488452.584976
"486","730.06",703282521.94259
"487","702.06",20573993835.2253
"488","715.06",1311187819.36436
"489","715.04",424225905.945217
"490","703.09",42332193.0012207
"491","635.01",28545564.7590408
"492","719.01",124754675.412224
"493","629",20692741.5488892
"494","630",44945256.8199844
"495","704.01",32101790.2992554
"496","635.02",23736726.1189575
"497","724.05",104838566.639435
"498","612",20853128.2635727
"499","734.04",292816633.344963
"500","730.05",20351444.642128
"501","725.04",68935292.2945633
"502","723.09",580370502.460469
"503","603",243663405.66951
"504","717.06",59480072.1329803
"505","717.05",165523034.769104
"506","717.04",17470598.8795166
"507","724.08",25726555.735611
"508","714.03",14561728.4058685
"509","702.07",220060596.766571
"510","712.09",65626841.911911
"511","724.06",359285068.775352
"512","616.01",25026615.604332
"513","618",180757098.600555
"514","726.03",8197533.04239655
"515","726.02",14890573.4021683
"516","726.01",2130540091.22691
"517","615",886237569.258606
"518","725.03",507164569.634476
"519","613",12611191.0827866
"520","617",243585826.593048
"521","703.07",16951174.9466705
"522","616.02",28476085.7083206
"523","703.08",310238803.922554
"524","723.05",11381695.9317627
"525","628.01",35411596.643364
"526","712.10",43777439.6964188
"527","713.07",40757392.555954
"528","628.02",93471828.8178177
"529","634",56180927.7219696
"530","721.08",32308605.5764542
"531","714.08",41558592.8596649
"532","731.14",45088841.0962486
"533","715.03",31477988.4411736
"534","614",74517667.2363472
"535","9400.02",61412641.1547699
"536","723.13",9977606.89011383
"537","718.06",145899211.510132
"538","625",27544329.8999786
