Tract,Average of amount,Average of SqFt,,
30202,319031.925,1535.333333,,
30304,400949.7586,2038.806452,,
30305,385087.5294,3756.257143,,
30306,365237.7179,1909.205128,,
30308,448039.5,1960.043478,,
30309,403931.3939,2281.911765,,
30310,375340.0556,1927.648649,,
30311,342080.575,1825.275,,
30312,347500.0556,1692,,
30313,219179.8258,2095.927536,,
30314,212472.8333,1106.383333,,
30401,387396.5124,2510.174242,,
30403,332905.8511,1727.152174,,
30404,350865.86,1762.897959,,
30501,296693.5699,2417.372727,,
30503,365688.3548,1724.263158,,
30504,311378.4894,1527.52,,
30600,264618.8056,1283.125,,
30700,263373.5957,1422.911111,,
30801,257557.3153,1328.558824,,
30802,306759.2778,1483.361111,,
30901,308272.3636,1589.484848,,
30902,324861.1563,1649.617647,,
31000,437712.2105,2281.421053,,
31100,270665.3871,1372.714286,,
31202,576711.5517,3557.37931,,
31204,501150.5833,2314.918919,,
31205,356683.449,15260.5625,,
31206,300077.5357,1583.792453,,
31301,523746.8824,1993.441176,,
31302,382409.2414,1991.103448,,
31400,325950.75,1540.575758,,
31501,570929.1538,2616.5,,
31601,461660.3684,2171,,
31603,494470.7838,2274.789474,,
31604,421150.4872,1890.263158,,
31605,574115.6,2166.425,,
31703,785183.925,6281.375,,
31704,388190.1053,1940.842105,,
31705,424153.5263,2106.605263,,
31706,399050.3415,2019.609756,,
31800,540048.8158,2448.421053,,
31903,590401.1351,2280.081081,,
31904,635728.8718,2113.282051,,
31906,592996.75,2540.8,,
31907,513980.7838,2291.307692,,
31908,389039.1064,1673.708333,,
31909,499709.359,2225.153846,,
32002,741035.6765,2722.142857,,
32003,562603.1,2152.35,,
32005,331630.0541,1378.162162,,
32006,453843.4474,2037,,
32007,542651.0588,2253.757576,,
32008,421773.4091,1923.209302,,
32010,490762.7333,2187.033333,,
32011,458287.3421,2195.657895,,
32102,807453.7838,8435.702703,,
32103,636018.0597,1961.317241,,
32104,756507.0303,2384.8,,
32203,1148604.079,2680.684211,,
32207,1197750,3134.625,,
32208,761637.3699,1819.12605,,
32210,920292.4324,2679.722222,,
32211,844525.5366,2359.268293,,
32212,800027.8333,2068.75,,
32213,1116818.41,3257.384615,,
32214,954271.7429,3080.444444,,
32215,1099581,3372.055556,,
32307,758035.7436,2457.025641,,
32309,662930.3455,2621.556604,,
32311,822766.0833,2633.324324,,
32313,950493.1571,2069.796296,,
32315,986744.8684,3022.105263,,
32316,1207712.308,3009.589744,,
32317,865351.6579,2534.026316,,
32318,849606.5429,2292.2,,
32319,635693.9238,2173.132231,,
32320,1019314.486,3138.289474,,
32321,1271396.857,3534.166667,,
32322,990558.925,2904.425,,
32323,902679.7619,2323.285714,,
32324,775274.2105,2108.076923,,
32325,773295.5476,1966.181818,,
32326,1055668.219,3081.84375,,
32327,976656.0263,2480.473684,,
32328,979661.2051,2791.769231,,
32329,823842.3684,2393.192982,,
32401,608117.5833,2587.815789,,
32402,521113.25,1762,,
32500,657507.8235,2312.676471,,
32601,504667.6585,1409.285714,,
32602,797069.175,2683.902439,,
32703,531836.5405,1859.405405,,
32704,602257.129,2013.46875,,
40100,349182.1918,1359.828947,,
40200,281034.3737,2526.252427,,
40300,316876.075,1827.860465,,
40400,286410.925,1571.395062,,
40500,239905.0412,1150.78125,,
40700,316877.1282,1614,,
40800,248074.2212,1061.464,,
40900,586609.4598,2071.595506,,
41000,326484.4066,1738.641304,,
41100,366798.7692,1693.382022,,
41201,357278.2209,1457.563218,,
41202,241739.8696,1127.554795,,
41301,413618.9222,1634.264368,,
41303,461489.3667,1865.5,,
41304,630895.4386,3508.253333,,
41400,334482.3256,1397.662921,,
41500,363945.1864,1608.85,,
41601,410847.7093,1833.011236,,
41605,392454.9545,1562.012195,,
41606,635723.1053,2303.525773,,
41607,536872.6364,2351.149254,,
41608,532889.2742,2500.904762,,
41701,425359.7767,1841.29703,,
41703,507108.7703,2085.646341,,
41704,488894.2743,1737.147826,,
41805,299645.0227,1554.761364,,
41806,326636.7703,1389.881579,,
41808,312119.2464,1508.402597,,
41809,242071.5503,1129.670588,,
41810,261415.7273,1150.9375,,
41811,432986.6569,1830.607843,,
41812,301000.0556,1403.815287,,
41901,445986.9868,1848.4,,
41903,300816.3857,1495.816901,,
41904,234836.9022,1325.87234,,
41905,312168.9604,1407.386139,,
42001,488722.3662,1691.28169,,
42003,973171.0811,2668.027027,,
42004,428890.75,1841.105263,,
42005,652372.2083,2614.414286,,
42006,466407.725,1385.770992,,
50101,641876.4603,2768.952381,,
50102,395408.9505,1476.722222,,
50200,987442.7,2750.66,,
50300,978833.549,2475.807692,,
50401,644690.4068,1952.627119,,
50402,487413.6813,1654.831579,,
50500,848847.0705,1418.314286,,
50600,1780409.098,3701.129032,,
50700,817391.1837,2030.485714,,
50800,331167.6888,1118.395939,,
50900,557331.7164,1815.514706,,
51000,463652.6104,1537.233766,,
51100,433897.9028,1423.689189,,
51200,433173.5603,1312.146552,,
51300,277424.9742,940.630303,,
51400,419693.4091,1641.609375,,
51500,408880.9518,1291.903614,,
51601,524584.1719,2192.734375,,
51602,563702,2128.477273,,
51701,392177.5942,1581.619718,,
51702,485165.5122,2129.581395,,
51802,440400.3623,1871.625,,
51803,279455.3182,1202.477477,,
51804,384443.5226,1342.240506,,
51905,491955.7656,1903.230769,,
51912,791581.6087,2575.744681,,
51913,634057.2105,2284.986842,,
51914,674560.0606,2435.353846,,
51915,589939.6667,2007.268657,,
51916,544122.7391,1881.277778,,
51917,372424.7623,1611,,
51918,466026.2844,1582.895161,,
51921,320072.8341,1264.777311,,
51922,559523.6703,2156.766667,,
51923,497599.6517,1863.311111,,
51924,447266.869,1525.75,,
51925,667493.0667,1555.622222,,
51926,636566.4017,2317.948276,,
51927,522501.5857,2075.328571,,
51928,612852.0128,2632.246753,,
52003,575282.7778,2242.835443,,
52004,495834.0375,1899.036585,,
52005,412680.9692,1646.409962,,
52006,723811.3273,2800.945455,,
52007,599442.1346,2244.615385,,
52104,445223.3913,2144.036364,,
52105,670574.3333,2910.918919,,
52107,713676.7442,2623.239583,,
52108,625040.122,2014.348837,,
52112,783288.0417,2907.061224,,
52113,980507,4332,,
52114,754654.6275,2740.803922,,
52118,473298,1892.355263,,
52203,458722.1111,2223.407407,,
52204,261575.8684,2090.649123,,
52206,554318.2333,2601.31746,,
52207,506981.5172,2354.672414,,
52208,348603.0303,1603.60396,,
52209,300959.8462,1315,,
52301,584997.6053,2307.333333,,
52302,573729.7727,2610.847826,,
52401,413766.9242,1730.621212,,
52402,313100.735,1356.573913,,
52502,372654.9615,1563.509615,,
52503,375132.1176,1696.058824,,
52504,390037.5938,1588.826531,,
52603,458296.5,2203.936508,,
52604,324515.8308,1353.125,,
52605,392909.6316,2041.115385,,
52606,452130.9048,2302.515625,,
52607,402697.0339,1945,,
52701,510538.7105,2338.425,,
52705,410309.6907,2580.520833,,
52706,382747.3235,1746,,
52707,387586.0625,1813.470588,,
52708,391710.4237,1997.423729,,
52709,403279.1831,2098.964286,,
52803,339940.6706,1674.804598,,
52804,379576.7432,2156.813333,,
52805,348782.122,1700.071429,,
52806,490125.7333,1757.966667,,
52903,271938.2364,1191.54386,,
52904,367439.0652,1836.604167,,
52905,322113.0175,1715.446429,,
52906,331656.6557,1834.372881,,
53101,370530.3049,1794.036585,,
53102,432618.5789,6321.463415,,
53201,426243.9057,6620.603175,,
53202,528153.0702,2250.775862,,
53301,381503.7121,1958.405797,,
53302,476854.587,2240,,
53400,406973.8415,1818.476744,,
53504,317040.0531,1532.896552,,
53505,460108.3864,8350.818182,,
53506,359251.6604,1778,,
53507,381649.4407,2076.559322,,
53508,370292.961,2163.37931,,
53509,316257.3448,2906.365079,,
53603,531682.6757,2365,,
53604,324230.6867,1585.865169,,
53802,307146.4844,1700.848485,,
53803,278530.625,1577.912281,,
60200,370279.4831,1351.464646,,
60300,617924.4535,3452.7,,
60400,376098.0222,1482.744681,,
60500,553238.7059,2079.114286,,
60600,433245.7733,2474.493976,,
60700,426384.7647,2330.463415,,
60800,367607.3077,1501.153846,,
60903,486858.597,1660.558824,,
60904,470312.5543,1676.21,,
60905,350499.2083,5060.206897,,
60906,372546.8788,1760.742857,,
61001,340994.7288,1605.209677,,
61002,313470.7778,2021.75,,
61100,287705.871,1736.857143,,
61200,266157.1515,2554.605263,,
61300,271447.2188,3296.594595,,
61400,279890.4483,4004.965909,,
61500,663851.1493,4862.102564,,
61601,208235.7627,1548.626374,,
61602,258851.3889,1411.418301,,
61700,274304.5965,4645.393443,,
61800,238397.5455,1661.222222,,
61900,241296.3333,2819.27027,,
62000,256761.9216,2226.277778,,
62300,234226.5278,1661.837838,,
62400,251283.3548,1407.666667,,
62500,222028.3784,1182.973684,,
62600,434193.1047,6636.313725,,
62801,499605.7538,2818.938053,,
62802,242108.6857,1566.131579,,
62900,435620.322,2524.055556,,
63000,219577.3714,3398.025,,
63100,245522.7576,1397.088235,,
63200,240770.4355,1580.883721,,
63300,228314.2,1219.21875,,
63400,286379.8,2354.46875,,
63501,244398.9189,2910.302326,,
63502,252710.4828,2074.111111,,
70203,351082.916,1858.932836,,
70204,228115.0667,1361.3125,,
70205,357589.3803,1734.173333,,
70206,348428.1368,2582.06,,
70207,274768.4023,1589.56044,,
70307,597176.64,2547.04902,,
70308,287039.2222,7956.75,,
70309,347649.6765,1680.911765,,
70310,569106.1565,1775.331081,,
70311,581455.2838,25791.66667,,
70312,473892.7447,2051.357143,,
70313,432133.0784,2015.75,,
70314,527524.9355,2183.03125,,
70315,442962.6579,8515.153846,,
70316,311487.5462,2686.280992,,
70401,582563.8529,1816.120567,,
70403,307731.2,1834.805556,,
70404,321064.129,2035.71875,,
70703,369391.4792,2585.216783,,
71100,203974.4038,1563.17757,,
71205,402075.1724,9612.423729,,
71206,295401.3704,1540.296,,
71207,264099.6239,1448.495868,,
71208,663991.2159,1870.020979,,
71209,343482.8,1949.085714,,
71210,443370.0435,2119.138211,,
71304,184283.6104,1708.011628,,
71305,245167.1849,1384.336066,,
71306,291899.1818,1739.352941,,
71307,273750.082,3207.894737,,
71309,307523.661,5390.076923,,
71310,293192.4103,1788.860759,,
71403,262660.72,1558.538462,,
71406,252616.8793,4062.888,,
71407,278026.4865,2482.75641,,
71408,277415.9375,1926.202703,,
71409,236134.9286,1427.758621,,
71410,216516.3605,1674.280899,,
71411,214598.46,1483.813084,,
71503,232358.0106,1878.527273,,
71504,226601.5938,1291.442308,,
71505,198819.1939,1618.931818,,
71506,365899.8165,1673.714286,,
71601,268534.5526,2142.52809,,
71602,203747.1068,1512.758621,,
71703,166123.1481,8384.197183,,
71704,195721.1029,4463.83908,,
71705,188240.1325,1499.181818,,
